frame,timestamp,focus,y_mean,y_std,b_mean,g_mean,r_mean,frame_delta
0,1777299689.3370976,189.53114670180213,8.547825520833333,3.4699506872058494,27.747822265625,0.422841796875,17.191474609375,0.0
1,1777299689.3869698,161.18586516482034,8.139990234375,3.2488252684477557,26.443997395833335,0.355654296875,16.460393880208333,1.8720540364583333
2,1777299689.4060466,137.97644416375695,7.762464192708333,3.074108406589239,25.31664713541667,0.30545247395833336,15.733675130208335,1.6278971354166667
3,1777299689.4341018,117.08053151024717,7.394078776041667,2.887386941607441,24.00979166666667,0.25710937500000003,15.097887369791668,1.3459581163194445
4,1777299689.4720516,106.46599636051388,7.221712239583334,2.785006346399521,23.40835611979167,0.2298828125,14.802939453125001,1.306279296875
5,1777299689.5064204,100.10697360021805,7.14119140625,2.7244540044232375,23.019658203125,0.21497721354166668,14.71671875,1.300646701388889
6,1777299689.535845,87.33175229284498,6.884088541666666,2.585538347084356,22.081630859375,0.186083984375,14.273118489583334,1.1409418402777778
7,1777299689.591913,84.1866967203776,6.837255859375,2.5591992249172844,21.9334375,0.17759440104166668,14.187034505208334,1.1739995659722222
8,1777299689.618665,82.10061136855018,6.818512369791667,2.5337272601097043,21.757799479166668,0.16987955729166668,14.201464843750001,1.1634168836805556
9,1777299689.6375172,75.93828017980789,6.633600260416666,2.4624780416956544,21.017519531250002,0.159443359375,13.886484375,1.0750086805555557
10,1777299689.6854632,526.7146298812867,9.108541666666667,7.604259014850202,22.647965494791666,3.222740885416667,15.515065104166668,5.1705121527777775
11,1777299689.7055576,1447.1229105819598,68.2008203125,21.75736038902515,80.210478515625,77.35588541666667,45.62033854166667,54.275859375
12,1777299689.7646668,562.1876387652928,159.80384114583333,43.28794380651036,197.8703483072917,173.96690429687501,117.46215820312501,95.4522677951389
13,1777299689.7721457,345.97187463374667,206.11105143229167,39.048234415127666,236.91685546875001,214.56478515625003,177.746640625,46.77756618923611
14,1777299689.8107002,196.29144523110915,232.174716796875,21.81860598525598,251.96055989583334,236.56567057291667,215.98894531250002,25.197569444444444
15,1777299689.8423579,114.63828294320633,247.89459635416668,10.13715786098492,254.57217447916668,248.93438802083335,243.27797200520834,14.122590060763889
16,1777299689.8723364,1.0692254596286348,254.977900390625,0.47074217551345354,254.99925130208334,254.966962890625,254.99224934895835,6.058032769097222
17,1777299689.9082842,0.0,255.0,0.0,255.00000000000003,255.00000000000003,255.00000000000003,0.01384548611111111
18,1777299689.9506385,0.0,255.0,0.0,255.00000000000003,255.00000000000003,255.00000000000003,0.0
19,1777299689.9817643,0.9662398478084122,254.964853515625,0.6024729944247108,254.94425455729169,254.97837890625001,254.946240234375,0.04370876736111111
