frame,timestamp,focus,y_mean,y_std,b_mean,g_mean,r_mean,frame_delta
0,1777299712.718903,142.75170454139146,136.42702353395063,46.10209804038779,134.4014602623457,137.42451967592592,135.22921296296298,0.0
1,1777299712.7807295,146.46234651714659,142.11122299382717,45.505804411695884,139.6131674382716,143.02574074074073,141.24325617283952,5.955104166666667
2,1777299712.8078358,149.43066351142167,143.99086226851853,45.27185833226643,141.77642168209877,145.06277199074074,142.71093942901234,3.018939686213992
3,1777299712.8463235,161.6024846072517,143.2039911265432,44.343873302022764,141.0302276234568,144.27341049382716,141.91378858024692,3.022063400205761
4,1777299712.8572414,160.22369463704428,141.3558275462963,43.339779406038595,139.15110532407408,142.40249035493827,140.12915509259258,3.1806635802469136
5,1777299712.9095016,129.08273089009253,142.3027276234568,43.33333844691789,139.96305941358025,143.36996141975308,141.08171296296297,2.267509002057613
6,1777299712.9472346,128.25825551643948,142.99194830246913,43.45076108509344,140.5261284722222,144.0641300154321,141.81312692901236,2.9986631944444446
7,1777299712.9557815,160.6839850876591,141.25725694444444,43.21626930985674,138.81311342592593,142.29018518518518,140.14932484567902,3.7489216820987656
8,1777299713.009226,120.79514590382563,141.30582947530866,43.338412388939226,138.82654899691357,142.35286844135803,140.18515239197532,2.3041891718106995
9,1777299713.0391712,118.24440065763542,141.44316936728396,43.22693342541898,138.9874787808642,142.469737654321,140.34880208333334,2.3611631944444444
10,1777299713.0809824,109.7235762340321,141.88433834876543,42.94778874346643,139.45824459876545,142.9335513117284,140.72700810185185,2.103932613168724
11,1777299713.0897617,106.59086994509084,142.03115162037037,43.03521746197395,139.60005787037036,143.1064988425926,140.82790895061729,1.6402231224279835
12,1777299713.1456857,105.13401032726748,141.94652391975308,43.32313318198376,139.54050540123458,143.01647762345678,140.74357831790124,1.9244161522633745
13,1777299713.1748905,106.38064038542144,141.89729166666666,43.33918793689065,139.5203973765432,142.95997299382717,140.69950810185185,2.483728137860082
14,1777299713.1867678,114.36604305552206,141.95080054012345,43.24883892343095,139.65732445987655,143.0281539351852,140.69882716049383,3.6394618055555554
15,1777299713.2068431,104.34972384898913,142.5356539351852,43.505239525171966,140.33912422839506,143.61181905864197,141.25226466049384,2.224613554526749
16,1777299713.254456,112.92440391946357,143.376925154321,44.05396302420382,141.28411265432098,144.45938464506173,142.04920524691357,2.7350810185185184
17,1777299713.2841494,120.39333766276039,144.81354552469136,44.48650261915622,142.8225038580247,145.9082175925926,143.40952160493828,3.1204931841563788
18,1777299713.3469164,129.31624877230496,146.73255979938273,44.93920195920077,144.78428433641974,147.86044560185186,145.23857831790124,4.28274241255144
19,1777299713.3570395,119.68982058683349,148.12414158950617,45.01249851867293,146.24769483024693,149.2948051697531,146.51919367283952,3.1124877829218107
