                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.70482,                 0.9429,                   0.39,                0.88937,                0.98983,                0.98516,                0.99038,                0.82539,                 0.9862,                0.97739,                0.98562,                0.64508,                0.71442,                0.95756,                0.35165,                0.91854,              0.0003755,              0.0003755,              0.0003755
                    108,                0.71244,                0.95057,                0.39257,                0.89226,                0.99026,                0.98282,                0.98852,                0.82761,                0.98654,                0.97823,                0.98392,                0.63812,                0.72542,                 1.0295,                0.35462,                0.91225,             0.00036725,             0.00036725,             0.00036725
                    109,                0.70578,                0.93472,                 0.3885,                0.89493,                0.98948,                0.98523,                0.98991,                0.82232,                0.98686,                0.98019,                0.98284,                0.63108,                0.73294,                0.98449,                0.36346,                0.91739,               0.000359,               0.000359,               0.000359
                    110,                0.70322,                 0.9422,                0.39106,                0.89009,                0.98863,                0.98116,                0.99127,                0.82872,                0.98492,                0.97438,                0.98569,                0.64823,                0.72726,                0.94496,                 0.3562,                0.91461,             0.00035075,             0.00035075,             0.00035075
                    111,                0.70473,                0.95157,                0.39328,                0.89051,                 0.9899,                0.98439,                0.99182,                0.82491,                0.98412,                0.97859,                0.98504,                0.63872,                0.73817,                0.99853,                0.35625,                0.91303,              0.0003425,              0.0003425,              0.0003425
                    112,                0.69463,                0.92858,                0.38252,                0.88771,                0.98532,                0.98028,                 0.9901,                0.83354,                0.98368,                0.97869,                0.98629,                0.64737,                0.72779,                 0.9922,                0.35871,                0.91295,             0.00033425,             0.00033425,             0.00033425
                    113,                0.70607,                0.95494,                0.38825,                0.88834,                0.98892,                0.98732,                0.99105,                0.83224,                0.99101,                 0.9894,                 0.9895,                0.63621,                0.72624,                 1.0007,                0.35716,                0.91429,               0.000326,               0.000326,               0.000326
                    114,                0.68913,                0.94004,                0.37955,                0.88579,                0.98511,                0.98732,                0.99061,                0.82296,                0.97982,                 0.9813,                0.98546,                0.64047,                 0.7344,                 1.0267,                0.35742,                0.91888,             0.00031775,             0.00031775,             0.00031775
                    115,                0.68778,                0.91091,                0.37856,                0.88693,                0.98547,                0.98364,                0.99028,                0.82608,                0.99023,                0.98257,                0.98868,                0.63376,                0.73361,                0.99941,                0.36691,                0.92005,              0.0003095,              0.0003095,              0.0003095
                    116,                0.69678,                 0.9201,                0.38059,                0.89211,                0.99084,                0.98449,                0.99069,                0.83427,                0.98501,                0.97873,                0.98455,                0.64664,                0.72856,                0.98717,                0.36037,                0.91168,             0.00030125,             0.00030125,             0.00030125
                    117,                0.69635,                0.91783,                 0.3819,                 0.8866,                0.98924,                0.98628,                0.99057,                0.83296,                0.99047,                 0.9849,                0.98858,                0.65099,                0.72629,                0.96227,                 0.3547,                0.92138,               0.000293,               0.000293,               0.000293
                    118,                0.69322,                0.92963,                0.38052,                0.88488,                0.98226,                0.98315,                0.98834,                0.83092,                0.98372,                0.97898,                0.98657,                0.63772,                 0.7261,                0.98933,                0.36488,                0.91761,             0.00028475,             0.00028475,             0.00028475
                    119,                0.68823,                0.91132,                0.37946,                0.88899,                0.98223,                0.98523,                0.98939,                0.83454,                  0.983,                0.98107,                0.98861,                0.64286,                 0.7221,                 1.0086,                0.35697,                0.91652,              0.0002765,              0.0002765,              0.0002765
                    120,                0.68804,                 0.9163,                 0.3808,                0.88683,                0.99031,                0.98623,                 0.9891,                0.83007,                0.98407,                0.97993,                0.98787,                0.63975,                0.72099,                 1.0045,                0.34818,                0.91449,             0.00026825,             0.00026825,             0.00026825
                    121,                0.67647,                0.90798,                0.37379,                0.88134,                0.98017,                0.98523,                0.99039,                0.82753,                0.98048,                0.97757,                0.98826,                0.63457,                0.73392,                0.98292,                0.35488,                0.91928,                0.00026,                0.00026,                0.00026
                    122,                0.67381,                0.90991,                0.36999,                0.87883,                0.99152,                0.98732,                0.99159,                0.82731,                0.98418,                0.98004,                 0.9871,                0.64226,                0.72167,                0.97646,                0.34829,                0.91794,             0.00025175,             0.00025175,             0.00025175
                    123,                0.66901,                0.89719,                0.36513,                0.88321,                0.98809,                0.98523,                0.99162,                0.83465,                0.97976,                0.98061,                0.98629,                 0.6351,                 0.7184,                 1.0159,                  0.348,                0.91815,              0.0002435,              0.0002435,              0.0002435
                    124,                0.66956,                0.90696,                0.37169,                0.87396,                0.98231,                0.98308,                0.99098,                0.83532,                0.98522,                0.97908,                0.98897,                0.64617,                0.70689,                0.98175,                0.34683,                0.91364,             0.00023525,             0.00023525,             0.00023525
                    125,                 0.6629,                0.90142,                0.36617,                0.87299,                0.98903,                0.98416,                0.99111,                0.84103,                0.98823,                0.98315,                0.98907,                0.65945,                0.70224,                 0.9573,                0.34577,                0.91102,               0.000227,               0.000227,               0.000227
                    126,                 0.6593,                0.88969,                0.36556,                 0.8774,                0.98974,                0.98535,                0.99097,                0.83917,                0.98873,                  0.986,                0.98898,                0.64942,                0.71242,                0.95716,                0.33893,                 0.9135,             0.00021875,             0.00021875,             0.00021875
                    127,                0.66041,                0.90065,                0.36378,                0.87805,                0.98875,                0.98402,                0.99147,                0.82854,                0.98667,                0.98193,                0.98904,                0.63914,                  0.717,                 1.0098,                0.34625,                0.91624,              0.0002105,              0.0002105,              0.0002105
                    128,                0.65475,                0.88515,                0.36122,                0.87841,                0.98436,                0.98156,                 0.9911,                0.83656,                0.98395,                0.98156,                0.98901,                 0.6485,                0.71513,                0.99196,                0.34539,                0.91056,             0.00020225,             0.00020225,             0.00020225
                    129,                0.65926,                0.89158,                0.36646,                0.88004,                0.98044,                0.99203,                0.99065,                0.83837,                0.97837,                0.98994,                 0.9899,                0.64899,                0.71048,                0.97978,                0.33664,                0.91339,               0.000194,               0.000194,               0.000194
                    130,                0.67039,                0.91323,                0.37128,                0.87965,                0.98082,                  0.986,                0.98877,                0.83347,                0.98013,                0.98166,                 0.9883,                0.64817,                0.71087,                 1.0102,                0.33898,                0.91387,             0.00018575,             0.00018575,             0.00018575
                    131,                0.65518,                0.88712,                0.36328,                0.87867,                0.98934,                0.98794,                0.99128,                0.83664,                0.98726,                0.98585,                0.98884,                 0.6552,                0.71385,                0.97768,                0.34163,                0.91134,              0.0001775,              0.0001775,              0.0001775
                    132,                0.63931,                0.87285,                0.35493,                0.87134,                0.99019,                0.98801,                0.99157,                0.84126,                0.98232,                0.98017,                0.98633,                0.65499,                0.70208,                0.97411,                0.33649,                0.90475,             0.00016925,             0.00016925,             0.00016925
                    133,                0.64497,                0.87549,                0.35197,                0.87667,                0.98895,                0.98804,                0.99204,                0.83856,                0.97835,                0.98487,                0.98675,                0.65476,                0.70671,                0.98462,                0.33223,                0.91028,               0.000161,               0.000161,               0.000161
                    134,                0.65122,                0.87572,                0.35846,                0.88055,                0.98693,                0.98523,                0.99073,                 0.8393,                0.98535,                0.98433,                0.98839,                0.65653,                0.70057,                0.98402,                0.33689,                0.91166,             0.00015275,             0.00015275,             0.00015275
                    135,                0.63157,                0.86321,                 0.3458,                0.87284,                0.98735,                0.98523,                 0.9907,                0.83207,                0.98107,                0.97947,                0.98462,                0.65245,                0.70521,                0.99144,                0.33931,                0.90883,              0.0001445,              0.0001445,              0.0001445
                    136,                0.64305,                 0.8594,                 0.3574,                0.87718,                0.98761,                0.98107,                0.98974,                0.83799,                0.98395,                 0.9787,                0.98656,                 0.6501,                0.70406,                0.98959,                0.33612,                0.90994,             0.00013625,             0.00013625,             0.00013625
                    137,                0.64125,                0.87143,                 0.3507,                0.87264,                 0.9858,                0.98523,                0.99141,                0.83823,                 0.9805,                0.98091,                0.98597,                0.65125,                0.69091,                0.99299,                 0.3306,                0.90531,               0.000128,               0.000128,               0.000128
                    138,                0.63216,                0.87369,                0.35375,                0.87511,                0.98686,                0.98329,                0.99178,                0.84115,                0.98155,                0.97741,                 0.9863,                0.65978,                0.68932,                0.98471,                0.32884,                0.90395,             0.00011975,             0.00011975,             0.00011975
                    139,                0.63418,                0.85893,                 0.3475,                0.87032,                0.98576,                0.98397,                0.99095,                0.84045,                 0.9797,                0.98156,                 0.9864,                0.63966,                 0.6981,                0.99896,                0.33011,                0.90707,              0.0001115,              0.0001115,              0.0001115
                    140,                0.63522,                0.86097,                0.34672,                0.86957,                0.98825,                0.98723,                0.99116,                0.83861,                0.98239,                0.98156,                0.98615,                0.65239,                0.69226,                0.96984,                0.33146,                0.90678,             0.00010325,             0.00010325,             0.00010325
                    141,                0.56229,                0.76038,                0.31369,                0.84354,                0.98636,                 0.9837,                0.99075,                0.83406,                0.97944,                0.97837,                0.98517,                0.64966,                 0.6952,                0.97076,                0.33528,                0.90672,                9.5e-05,                9.5e-05,                9.5e-05
                    142,                0.54796,                0.75108,                0.30118,                0.84319,                0.98785,                0.98732,                0.99101,                0.83598,                0.98271,                0.98156,                0.98592,                0.65299,                0.68949,                0.96855,                0.33315,                0.90934,              8.675e-05,              8.675e-05,              8.675e-05
                    143,                0.55134,                0.74064,                0.30047,                0.84808,                 0.9903,                0.98871,                0.99144,                0.83604,                0.98473,                0.98287,                0.98626,                0.65538,                0.69666,                0.97185,                0.32979,                0.90793,               7.85e-05,               7.85e-05,               7.85e-05
                    144,                0.54405,                 0.7504,                0.29732,                0.84268,                0.98684,                0.98523,                0.99148,                0.84512,                0.98345,                0.98156,                0.98721,                0.66111,                0.69097,                0.97637,                0.32602,                0.90589,              7.025e-05,              7.025e-05,              7.025e-05
                    145,                0.53903,                0.73498,                0.29292,                0.83592,                0.98745,                0.98588,                0.99265,                0.84302,                0.98346,                0.98227,                0.98815,                 0.6543,                0.69281,                0.99771,                0.32788,                0.90603,                6.2e-05,                6.2e-05,                6.2e-05
                    146,                0.54773,                0.74237,                0.29492,                0.83808,                 0.9874,                0.98597,                0.99252,                0.84733,                0.98299,                0.98246,                 0.9879,                0.65325,                0.69065,                0.99497,                0.32274,                0.90277,              5.375e-05,              5.375e-05,              5.375e-05
                    147,                0.53611,                0.73814,                0.29376,                0.83519,                0.98528,                0.98523,                0.99124,                0.84383,                0.98049,                0.98172,                 0.9855,                0.65774,                0.68523,                0.99315,                0.32147,                0.90469,               4.55e-05,               4.55e-05,               4.55e-05
                    148,                0.53865,                0.73454,                0.29463,                0.83986,                0.98861,                0.98741,                0.99162,                0.83982,                0.98283,                0.98165,                0.98488,                0.65802,                0.68353,                0.99342,                0.32028,                0.90417,              3.725e-05,              3.725e-05,              3.725e-05
                    149,                0.53073,                0.73031,                0.29067,                0.84176,                0.98729,                0.98933,                0.99174,                0.84083,                0.98358,                0.98568,                 0.9865,                0.65414,                0.68096,                 1.0007,                0.32052,                0.90206,                2.9e-05,                2.9e-05,                2.9e-05
                    150,                0.53476,                0.72557,                0.29292,                0.83708,                0.98713,                0.98523,                 0.9918,                0.84005,                0.98306,                0.98156,                0.98641,                0.65652,                0.68712,                0.99786,                0.32325,                0.90223,              2.075e-05,              2.075e-05,              2.075e-05
